Salesforce_Table,Sensible_Python_Key,Actual_Salesforce_API_Name,Data_Type,Description,ScriptsUsing
Case,case_facility_zip_code,Cert_Facility_Zip_Code__c,,,FALSE
Case,case_adhere_requirements,Cert_I_Will_Adhere_Requirements__c,,,FALSE
Case,case_international_facility_state,Cert_International_Facility_State__c,,,FALSE
Case,case_division_of_a_parent,Cert_Is_this_a_division_of_a_parent__c,,,FALSE
Case,case_is_this_a_scope_change,Cert_Is_this_a_scope_change__c,,,FALSE
Case,case_parent_company_name,Cert_Parent_Company_Name__c,,,FALSE
Case,case_stage,Cert_Stage__c,,,FALSE
Case,case_title,Cert_Title__c,,,FALSE
Case,case_total_employees,Cert_Total_Number_of_Employees__c,,,FALSE
Case,case_certification_email,Certification_Email__c,,,FALSE
Case,case_certification_name,Certification_Name__c,,,FALSE
Case,case_certification_phone,Certification_Phone__c,,,FALSE
Case,case_client_type,Client_Type__c,,,FALSE
Case,case_closeddate,ClosedDate,,,FALSE
Case,case_comments,Comments,,,FALSE
Case,case_cgl_expiration,Commercial_General_Liability_Expiration__c,,,FALSE
Case,case_company_website,Company_Website__c,,,FALSE
Case,case_contactemail,ContactEmail,,,FALSE
Case,case_contactfax,ContactFax,,,FALSE
Case,case_contactid,ContactId,,,FALSE
Case,case_contactmobile,ContactMobile,,,FALSE
Case,case_contactphone,ContactPhone,,,FALSE
Case,case_continent,Continent__c,,,FALSE
Case,case_createdbyid,CreatedById,,,FALSE
Case,case_created,CreatedDate,,,TRUE
Case,case_date_of_cert_letter,Date_of_Cert_determination_letter__c,,,FALSE
Case,case_due_date_docs,Due_Date_Application_Docs__c,,,FALSE
Case,case_due_date_invoice,Due_Date_Invoice__c,,,FALSE
Case,case_ext_app_receieved,Ext_App_Receieved__c,,,FALSE
Case,case_ext_app_sent,Ext_App_Sent__c,,,FALSE
Case,case_externalid,External_ID__c,,,FALSE
Case,case_facility_address,Facility_Address__c,,,FALSE
Case,case_facility_denied,Facility_been_denied_AISC_Certification__c,,,FALSE
Case,case_facility_country,Facility_Country__c,,,FALSE
Case,case_form_email,Form_Email__c,,,FALSE
Case,case_generate_ai_label,Generate_AI_Label__c,,,FALSE
Case,case_ever_certified,Has_this_firm_ever_been_AISC_Certified__c,,,FALSE
Case,case_id,Id,,,FALSE
Case,case_interchange,Interchange__c,,,FALSE
Case,case_inv_docs_sent_date,Inv_Docs_Sent_Date__c,,,FALSE
Case,case_invoice_received,Invoice_Received__c,,,FALSE
Case,case_is_there_a_support_office,Is_there_a_Support_Office__c,,,FALSE
Case,case_isclosed,IsClosed,,,FALSE
Case,case_isdeleted,IsDeleted,,,FALSE
Case,case_isescalated,IsEscalated,,,FALSE
Case,case_issue,Issue__c,,,FALSE
Case,case_label,Label__c,,,FALSE
Case,case_label_new,Label_new__c,,,FALSE
Case,case_label_verified,Label_Verified__c,,,FALSE
Case,case_language,Language,,,FALSE
Case,case_lastmodifiedbyid,LastModifiedById,,,FALSE
Case,case_moddate,LastModifiedDate,,,TRUE
Case,case_lastreferenceddate,LastReferencedDate,,,FALSE
Case,case_lastvieweddate,LastViewedDate,,,FALSE
Case,case_legacydisplayid,Legacy_Display_ID__c,,,FALSE
Case,case_other_facs,Location_and_Relationship_of_Other_Facs__c,,,FALSE
Case,case_logged_call_time,Logged_Call_Time__c,,,FALSE
Case,case_mailing_city,Mailing_City__c,,,FALSE
Case,case_mailing_country,Mailing_Country__c,,,FALSE
Case,case_mailing_state,Mailing_State__c,,,FALSE
Case,case_mailing_street,Mailing_Street__c,,,FALSE
Case,case_mailing_zip,Mailing_Zip__c,,,FALSE
Case,case_masterrecordid,MasterRecordId,,,FALSE
Case,case_origin,Origin,,,FALSE
Case,case_ownerid,OwnerId,,,FALSE
Case,case_p2_issue,P2_Issue__c,,,FALSE
Case,case_p2_page,P2_Page__c,,,FALSE
Case,case_p2_section,P2_Section__c,,,FALSE
Case,case_page,Page__c,,,FALSE
Case,case_parent_company_address,Parent_Company_Address__c,,,FALSE
Case,case_parentid,ParentId,,,FALSE
Case,case_preferred,Preferred__c,,,FALSE
Case,case_previously_certified_dates,Previously_Certified_Dates__c,,,FALSE
Case,case_primary_fab_erect_areas,Primary_Fab_Erect_Areas__c,,,FALSE
Case,case_primary_responder,Primary_Responder__c,,,FALSE
Case,case_principal_email,Principal_Email__c,,,FALSE
Case,case_principal_name,Principal_Name__c,,,FALSE
Case,case_principal_phone,Principal_Phone__c,,,FALSE
Case,case_principal_title,Principal_Title__c,,,FALSE
Case,case_priority,Priority,,,FALSE
Case,case_publication,Publication__c,,,FALSE
Case,case_publication_2,Publication_2__c,,,FALSE
Case,case_publication_edition,Publication_Edition__c,,,FALSE
Case,case_publication_location,Publication_Location__c,,,FALSE
Case,case_publication_name,Publication_Name__c,,,FALSE
Case,case_qc_title,QC_Title__c,,,FALSE
Case,case_qms_for_other_facilities,QMS_for_Other_Facilities__c,,,FALSE
Case,case_qr_email,QR_Email__c,,,FALSE
Case,case_qr_name,QR_Name__c,,,FALSE
Case,case_qr_phone,QR_Phone__c,,,FALSE
Case,case_reason,Reason,,,FALSE
Case,case_apply_reasons,Reasons_for_applying_for_Certification__c,,,FALSE
Case,case_roi_received,Reciprocal_Indemnity_Agreement_Received__c,,,FALSE
Case,case_recordtypeid,RecordTypeId,,,FALSE
Case,case_responder,Responder__c,,,FALSE
Case,case_reviewer,Reviewer__c,,,FALSE
Case,case_scope_change_pref,Scope_Change_Scheduling_Pref__c,,,FALSE
Case,case_section,Section__c,,,FALSE
Case,case_ssc_label,SSC_Label__c,,,FALSE
Case,case_ssc_sub_label,SSC_Sub_Label__c,,,FALSE
Case,case_status,Status,,,TRUE
Case,case_sub_label,Sub_Label__c,,,FALSE
Case,case_sub_sub_label,Sub_Sub_Label__c,,,FALSE
Case,case_sub_topic,Sub_Topic__c,,,FALSE
Case,case_sub_topic_2,Sub_Topic_2__c,,,FALSE
Case,case_sub_topic_3,Sub_Topic_3__c,,,FALSE
Case,case_sub_topic_4,Sub_Topic_4__c,,,FALSE
