Salesforce_Table,Sensible_Python_Key,Actual_Salesforce_API_Name,Data_Type,Description,ScriptsUsing
Contact,contact_imismembershiptype,IMISMembershipType__c,,,FALSE
Contact,contact_imisphone,IMISPhone__c,,,FALSE
Contact,contact_individualid,IndividualId,,,FALSE
Contact,contact_isdeleted,IsDeleted,,,FALSE
Contact,contact_isemailbounced,IsEmailBounced,,,FALSE
Contact,contact_ispriorityrecord,IsPriorityRecord,,,FALSE
Contact,contact_jigsaw,Jigsaw,,,FALSE
Contact,contact_jigsawcontactid,JigsawContactId,,,FALSE
Contact,contact_lastactivitydate,LastActivityDate,,,FALSE
Contact,contact_lastcurequestdate,LastCURequestDate,,,FALSE
Contact,contact_lastcuupdatedate,LastCUUpdateDate,,,FALSE
Contact,contact_lastmodifiedbyid,LastModifiedById,,,FALSE
Contact,contact_lastmodifieddate,LastModifiedDate,,,FALSE
Contact,contact_lastname,LastName,,Core matching property,TRUE
Contact,contact_lastreferenceddate,LastReferencedDate,,,FALSE
Contact,contact_lastvieweddate,LastViewedDate,,,FALSE
Contact,contact_leadid,Lead_ID__c,,,FALSE
Contact,contact_mailingcity,MailingCity,,,FALSE
Contact,contact_mailingcountry,MailingCountry,,,FALSE
Contact,contact_mailinggeocodeaccuracy,MailingGeocodeAccuracy,,,FALSE
Contact,contact_mailinglatitude,MailingLatitude,,,FALSE
Contact,contact_mailinglongitude,MailingLongitude,,,FALSE
Contact,contact_mailingpostalcode,MailingPostalCode,,,FALSE
Contact,contact_mailingstate,MailingState,,,FALSE
Contact,contact_mailingstreet,MailingStreet,,,FALSE
Contact,contact_masterrecordid,MasterRecordId,,,FALSE
Contact,contact_membership_category,Membership_Category__c,,,FALSE
Contact,contact_membership_type,Membership_Type__c,,,FALSE
Contact,contact_middlename,MiddleName,,,FALSE
Contact,contact_mobilephone,MobilePhone,,,FALSE
Contact,contact_name,Name,,,FALSE
Contact,contact_ownerid,OwnerId,,,FALSE
Contact,contact_participant_bot_access,Participant_Bot_Access__c,,,FALSE
Contact,contact_phone,Phone,,Baseline target for clean_phone formatting,TRUE
Contact,contact_photourl,PhotoUrl,,,FALSE
Contact,contact_portal_created_date,Portal_Created_Date__c,,,FALSE
Contact,contact_portal_last_login,Portal_Last_Login__c,,,FALSE
Contact,contact_reportstoid,ReportsToId,,,FALSE
Contact,contact_salutation,Salutation,,,FALSE
Contact,contact_suffix,Suffix,,,FALSE
Contact,contact_systemmodstamp,SystemModstamp,,,FALSE
Contact,contact_title,Title,Text,Baseline title configuration,TRUE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
